iter	Passed	Remaining
0	147	147515
1	150	74995
2	152	50661
3	154	38364
4	156	31064
5	157	26085
6	159	22591
7	161	19979
8	162	17880
9	163	16187
10	164	14786
11	165	13631
12	166	12650
13	167	11811
14	168	11070
15	169	10429
16	170	9872
17	171	9365
18	172	8913
19	173	8479
20	174	8115
21	175	7787
22	176	7479
23	176	7192
24	177	6930
25	178	6691
26	179	6472
27	180	6269
28	182	6096
29	182	5915
30	183	5745
31	184	5592
32	185	5448
33	186	5307
34	187	5174
35	188	5051
36	189	4936
37	190	4824
38	191	4719
39	192	4623
40	193	4525
41	194	4427
42	195	4342
43	196	4263
44	197	4188
45	198	4114
46	199	4046
47	200	3979
48	201	3918
49	202	3856
50	203	3793
51	204	3733
52	205	3678
53	207	3627
54	207	3567
55	209	3524
56	210	3482
57	211	3439
58	213	3400
59	214	3358
60	215	3319
61	217	3288
62	218	3250
63	219	3207
64	220	3168
65	221	3138
66	223	3110
67	225	3085
68	226	3059
69	228	3033
70	229	3007
71	231	2986
72	233	2968
73	235	2946
74	237	2928
75	239	2913
76	241	2900
77	244	2885
78	246	2873
79	248	2860
80	250	2836
81	250	2806
82	252	2787
83	253	2768
84	254	2740
85	255	2715
86	257	2699
87	258	2683
88	260	2666
89	262	2654
90	264	2644
91	265	2621
92	266	2599
93	267	2582
94	270	2574
95	272	2565
96	273	2545
97	275	2537
98	277	2528
99	280	2521
100	281	2502
101	282	2484
102	284	2474
103	286	2468
104	288	2461
105	290	2453
106	293	2447
107	295	2443
108	296	2425
109	297	2407
110	298	2392
111	300	2385
112	303	2379
113	305	2377
114	308	2371
115	310	2366
116	312	2355
117	313	2341
118	315	2333
119	317	2328
120	319	2322
121	321	2316
122	324	2311
123	326	2305
124	327	2295
125	329	2282
126	331	2276
127	332	2267
128	334	2258
129	336	2253
130	339	2250
131	341	2245
132	343	2237
133	344	2224
134	345	2212
135	346	2204
136	349	2200
137	351	2197
138	353	2192
139	356	2189
140	358	2185
141	359	2173
142	360	2162
143	363	2158
144	365	2154
145	366	2146
146	369	2141
147	371	2137
148	372	2125
149	373	2118
150	375	2108
151	375	2096
152	376	2085
153	378	2080
154	380	2075
