iter	Passed	Remaining
0	0	798
1	1	710
2	2	717
3	2	676
4	3	654
5	3	605
6	4	608
7	4	573
8	5	622
9	6	647
10	7	665
11	8	678
12	8	677
13	9	683
14	10	682
15	11	691
16	11	678
17	12	683
18	13	695
19	14	703
20	15	711
21	16	720
22	16	715
23	17	716
24	18	727
25	19	726
26	20	723
27	20	716
28	21	714
29	22	716
30	22	716
31	23	715
32	24	710
33	24	708
34	25	709
35	26	713
36	27	718
37	28	719
38	29	725
39	30	729
40	31	731
41	31	723
42	32	719
43	32	714
44	33	709
45	33	704
46	34	694
47	34	694
48	35	692
49	36	690
50	36	683
51	37	676
52	37	667
53	38	667
54	38	667
55	39	663
56	39	657
57	40	659
58	41	659
59	41	657
60	42	654
61	43	652
62	44	655
63	44	654
64	45	654
65	46	654
66	46	650
67	47	644
68	47	644
69	48	646
70	49	647
71	50	646
72	50	647
73	51	646
74	52	645
75	52	643
76	53	642
77	54	642
78	55	641
79	55	637
80	56	637
81	56	636
82	57	635
83	58	632
84	58	628
85	59	627
86	59	626
87	60	625
88	61	625
89	61	625
90	62	623
91	62	620
92	63	615
93	63	610
94	63	607
95	64	608
96	65	605
97	65	606
98	66	603
99	67	603
100	67	603
101	68	601
102	69	601
103	70	603
104	70	600
105	71	600
106	71	600
107	72	600
108	73	600
109	73	597
110	74	595
111	75	596
112	76	596
113	76	597
114	77	595
115	78	596
116	78	595
117	79	594
118	80	592
119	80	592
120	81	591
121	82	591
122	82	591
123	83	590
124	84	589
125	84	588
126	84	583
127	85	580
128	85	578
129	86	575
130	86	573
131	86	571
132	87	571
133	88	571
134	88	568
135	89	566
136	89	566
137	90	564
138	90	563
139	91	562
140	91	560
141	92	559
142	93	558
143	93	558
144	94	557
145	95	556
146	95	555
147	96	554
148	97	554
149	97	554
150	98	553
151	99	552
152	99	552
153	100	551
154	101	551
155	101	550
156	102	551
157	103	550
158	103	549
159	104	548
160	105	548
161	106	548
162	106	547
163	107	546
164	107	546
165	108	545
166	109	545
167	110	545
168	110	544
169	111	544
170	112	543
171	112	543
172	113	542
173	114	542
174	114	541
175	115	540
176	116	540
177	117	540
178	117	539
179	118	538
180	118	536
181	118	534
182	119	532
183	119	529
184	119	527
185	120	526
186	120	524
187	120	521
188	121	519
189	121	519
190	122	519
191	123	519
192	124	518
193	124	518
194	125	517
195	126	517
196	126	516
197	127	516
198	127	514
199	128	512
200	128	512
201	129	509
202	129	509
203	130	509
204	131	509
205	132	508
206	132	508
207	133	508
208	134	507
209	134	506
210	135	506
211	136	505
212	136	504
213	137	503
214	137	502
215	138	502
216	139	502
217	140	502
218	140	502
219	141	502
220	142	501
221	142	499
222	142	497
223	143	496
224	144	496
225	144	495
226	145	495
227	146	495
228	146	494
229	147	494
230	149	497
231	150	496
232	150	496
233	151	495
234	152	494
235	152	493
236	152	492
237	153	491
238	154	491
239	154	489
240	154	488
241	155	487
242	155	485
243	156	483
244	156	482
245	157	482
246	158	481
247	158	481
248	159	480
249	159	478
250	159	477
251	160	475
252	160	474
253	161	473
254	161	472
255	162	471
256	162	470
257	163	469
258	163	467
259	163	466
260	164	465
261	165	466
262	166	465
263	166	465
264	167	464
265	167	463
266	168	461
267	168	461
268	169	461
269	170	460
270	170	459
271	170	457
272	171	455
273	171	454
274	171	453
275	172	452
276	173	452
277	174	452
278	174	451
279	175	450
280	175	449
281	176	448
282	176	447
283	177	447
284	178	447
285	179	447
286	180	447
287	180	446
288	181	446
289	182	446
290	182	445
291	183	445
292	183	443
293	184	442
294	185	442
295	185	441
296	186	440
297	186	440
298	187	439
299	187	438
300	188	438
301	189	437
302	190	437
303	190	436
304	191	435
305	191	435
306	192	435
307	193	433
308	193	433
309	194	432
310	195	432
311	195	431
312	196	431
313	197	430
314	197	430
315	198	430
316	199	430
317	200	430
318	201	429
319	201	428
320	202	428
321	203	428
322	204	428
323	205	428
324	205	427
325	206	426
326	207	426
327	207	426
328	208	425
329	209	424
330	209	424
331	210	424
332	211	423
333	212	423
334	213	422
335	213	422
336	214	421
337	214	420
338	215	419
339	215	419
340	216	418
341	217	418
342	218	418
343	219	417
344	219	417
345	220	416
346	221	416
347	221	415
348	222	415
349	223	414
350	223	414
351	224	413
352	225	412
353	225	412
354	226	411
355	227	411
356	227	410
357	228	410
358	229	409
359	229	408
360	230	408
361	231	407
362	231	406
363	232	406
364	233	405
365	233	405
366	234	404
367	235	404
368	235	403
369	236	402
370	237	402
371	237	401
372	238	400
373	238	399
374	239	398
375	240	398
376	241	398
377	241	397
378	242	397
379	243	397
380	244	396
381	244	396
382	245	395
383	246	395
384	247	394
385	247	394
386	248	393
387	249	393
388	249	392
389	250	391
390	250	390
391	251	389
392	251	388
393	252	388
394	253	387
395	253	387
396	254	386
397	255	385
398	255	385
399	256	384
400	257	384
401	257	383
402	258	382
403	258	381
404	259	381
405	260	380
406	260	379
407	261	379
408	261	378
409	262	377
410	263	377
411	263	376
412	264	376
413	265	375
414	266	375
415	266	374
416	267	373
417	268	373
418	268	372
419	269	372
420	270	372
421	270	371
422	271	370
423	272	369
424	272	369
425	273	368
426	274	367
427	274	367
428	275	366
429	276	366
430	276	365
431	277	364
432	278	364
433	278	363
434	279	363
435	280	362
436	281	362
437	281	361
438	282	361
439	283	360
440	284	360
441	284	359
442	285	358
443	286	358
444	286	357
445	287	356
446	287	356
447	288	355
448	289	354
449	289	354
450	290	353
451	291	353
452	291	352
453	292	351
454	293	351
455	294	350
456	294	350
457	295	349
458	296	348
459	296	348
460	297	347
461	298	347
462	299	346
463	299	346
464	300	345
465	301	345
466	302	345
467	303	344
468	303	344
469	304	343
470	305	342
471	305	342
472	306	341
473	307	341
474	308	340
475	308	339
476	309	339
477	310	338
478	310	338
479	311	337
480	312	337
481	313	336
482	313	335
483	314	335
484	315	334
485	315	333
486	316	333
487	317	333
488	318	332
489	318	331
490	319	331
491	320	330
492	320	330
493	321	329
494	322	328
495	323	328
496	323	327
497	324	326
498	325	326
499	325	325
500	326	325
501	326	324
502	327	323
503	328	323
504	328	322
505	329	321
506	330	321
507	330	320
508	331	320
509	332	319
510	333	318
511	333	318
512	334	317
513	335	317
514	336	316
515	336	315
516	337	315
517	338	314
518	338	314
519	339	313
520	340	312
521	341	312
522	341	311
523	342	311
524	343	310
525	344	310
526	344	309
527	345	308
528	345	308
529	346	307
530	347	306
531	347	306
532	348	305
533	349	304
534	349	303
535	350	303
536	351	302
537	351	302
538	352	301
539	352	300
540	353	300
541	354	299
542	355	298
543	355	298
544	356	297
545	356	296
546	357	296
547	358	295
548	358	294
549	359	294
550	360	293
551	360	292
552	361	292
553	362	291
554	362	290
555	363	290
556	363	289
557	364	288
558	365	288
559	365	287
560	366	286
561	367	286
562	367	285
563	368	284
564	369	284
565	369	283
566	370	282
567	371	282
568	371	281
569	372	280
570	373	280
571	373	279
572	374	279
573	375	278
574	375	277
